,patient ID,time,condition1,scan-in-condition1,condition2,condition3,ignore,brain
126,3572,199,3,1,2,2,-999,9856.98
127,3572,200,3,2,2,2,-999,9864.28
128,3572,201,3,3,2,2,-999,9887.98
129,3572,202,3,4,2,2,-999,9918.94
130,3572,203,3,5,2,2,-999,9931.22
131,3572,204,3,6,2,2,-999,9917.34
132,3572,205,3,7,2,2,-999,9899.58
133,3572,206,3,8,2,2,-999,9893.27
134,3572,207,3,9,2,2,-999,9891.27
135,3572,208,3,10,2,2,-999,9883.92
136,3572,209,3,11,2,2,-999,9886.76
137,3572,210,3,12,2,2,-999,9897.85
138,3572,211,3,13,2,2,-999,9900.16
139,3572,212,3,14,2,2,-999,9894.52
140,3572,213,3,15,2,2,-999,9887.33
141,3572,214,3,16,2,2,-999,9883.06
142,3572,215,3,17,2,2,-999,9878.86
143,3572,216,3,18,2,2,-999,9871.49
144,3572,217,3,1,5,2,-999,9865.32
145,3572,218,3,2,5,2,-999,9862.86
146,3572,219,3,3,5,2,-999,9860.53
147,3572,220,3,4,5,2,-999,9863.29
148,3572,221,3,5,5,2,-999,9867.01
149,3572,222,3,6,5,2,-999,9865.32
150,3572,223,3,7,5,2,-999,9861.89
151,3572,224,3,8,5,2,-999,9862.23
152,3572,225,3,9,5,2,-999,9869.2
153,3572,226,3,10,5,2,-999,9878.66
154,3572,227,3,11,5,2,-999,9882.51
155,3572,228,3,12,5,2,-999,9878.53
156,3572,229,3,13,5,2,-999,9874.8
157,3572,230,3,14,5,2,-999,9876.8
158,3572,231,3,15,5,2,-999,9882.85
159,3572,232,3,16,5,2,-999,9891.64
160,3572,233,3,17,5,2,-999,9895.34
161,3572,234,3,18,5,2,-999,9890.49
162,3572,235,3,1,2,2,-999,9881.65
163,3572,236,3,2,2,2,-999,9879.81
164,3572,237,3,3,2,2,-999,9888.2
165,3572,238,3,4,2,2,-999,9902.45
166,3572,239,3,5,2,2,-999,9913.25
167,3572,240,3,6,2,2,-999,9906.07
168,3572,241,3,7,2,2,-999,9890.34
169,3572,242,3,8,2,2,-999,9886.25
170,3572,243,3,9,2,2,-999,9890.99
171,3572,244,3,10,2,2,-999,9897.06
172,3572,245,3,11,2,2,-999,9897.56
173,3572,246,3,12,2,2,-999,9898.65
174,3572,247,3,13,2,2,-999,9899.55
175,3572,248,3,14,2,2,-999,9893.85
176,3572,249,3,15,2,2,-999,9887.3
177,3572,250,3,16,2,2,-999,9889.87
178,3572,251,3,17,2,2,-999,9890.54
179,3572,252,3,18,2,2,-999,9877.44
180,3572,253,3,1,5,2,-999,9883.5
181,3572,254,3,2,5,2,-999,9897.48
182,3572,255,3,3,5,2,-999,9892.17
183,3572,256,3,4,5,2,-999,9879.99
184,3572,257,3,5,5,2,-999,9867.84
185,3572,258,3,6,5,2,-999,9854.89
186,3572,259,3,7,5,2,-999,9849.73
187,3572,260,3,8,5,2,-999,9854.89
188,3572,261,3,9,5,2,-999,9861.64
189,3572,262,3,10,5,2,-999,9868.82
190,3572,263,3,11,5,2,-999,9874.78
191,3572,264,3,12,5,2,-999,9881.91
192,3572,265,3,13,5,2,-999,9887.17
193,3572,266,3,14,5,2,-999,9885.75
194,3572,267,3,15,5,2,-999,9881.41
195,3572,268,3,16,5,2,-999,9881.41
196,3572,269,3,17,5,2,-999,9881.41
197,3572,270,3,18,5,2,-999,9881.41
