,patient ID,time,condition1,scan-in-condition1,condition2,condition3,ignore,brain
18,3566,19,1,1,3,3,-999,10017.0
19,3566,20,1,2,3,3,-999,10005.1
20,3566,21,1,3,3,3,-999,10012.5
21,3566,22,1,4,3,3,-999,10026.3
22,3566,23,1,5,3,3,-999,10020.1
23,3566,24,1,6,3,3,-999,10025.9
24,3566,25,1,7,3,3,-999,10024.1
25,3566,26,1,8,3,3,-999,10013.0
26,3566,27,1,9,3,3,-999,10000.8
27,3566,28,1,10,3,3,-999,9990.44
28,3566,29,1,11,3,3,-999,9991.08
29,3566,30,1,12,3,3,-999,9969.84
30,3566,31,1,13,3,3,-999,9980.65
31,3566,32,1,14,3,3,-999,10006.0
32,3566,33,1,15,3,3,-999,9981.26
33,3566,34,1,16,3,3,-999,9946.51
34,3566,35,1,17,3,3,-999,9962.46
35,3566,36,1,18,3,3,-999,9986.44
36,3566,37,1,1,5,3,-999,9999.14
37,3566,38,1,2,5,3,-999,10016.5
38,3566,39,1,3,5,3,-999,10024.8
39,3566,40,1,4,5,3,-999,10026.9
40,3566,41,1,5,5,3,-999,10031.5
41,3566,42,1,6,5,3,-999,10005.1
42,3566,43,1,7,5,3,-999,9990.01
43,3566,44,1,8,5,3,-999,9980.77
44,3566,45,1,9,5,3,-999,9961.29
45,3566,46,1,10,5,3,-999,9959.72
46,3566,47,1,11,5,3,-999,9973.38
47,3566,48,1,12,5,3,-999,9989.63
48,3566,49,1,13,5,3,-999,9996.52
49,3566,50,1,14,5,3,-999,10000.6
50,3566,51,1,15,5,3,-999,10008.8
51,3566,52,1,16,5,3,-999,9993.24
52,3566,53,1,17,5,3,-999,9979.66
53,3566,54,1,18,5,3,-999,9960.21
54,3566,55,1,1,3,3,-999,9952.06
55,3566,56,1,2,3,3,-999,9938.03
56,3566,57,1,3,3,3,-999,9938.77
57,3566,58,1,4,3,3,-999,9959.88
58,3566,59,1,5,3,3,-999,9990.77
59,3566,60,1,6,3,3,-999,10023.2
60,3566,61,1,7,3,3,-999,10043.9
61,3566,62,1,8,3,3,-999,10045.3
62,3566,63,1,9,3,3,-999,10021.6
63,3566,64,1,10,3,3,-999,10005.2
64,3566,65,1,11,3,3,-999,9977.61
65,3566,66,1,12,3,3,-999,9954.18
66,3566,67,1,13,3,3,-999,9944.91
67,3566,68,1,14,3,3,-999,9943.35
68,3566,69,1,15,3,3,-999,9935.62
69,3566,70,1,16,3,3,-999,9941.38
70,3566,71,1,17,3,3,-999,9952.26
71,3566,72,1,18,3,3,-999,9956.81
72,3566,73,1,1,5,3,-999,9978.98
73,3566,74,1,2,5,3,-999,9993.55
74,3566,75,1,3,5,3,-999,10002.3
75,3566,76,1,4,5,3,-999,10003.2
76,3566,77,1,5,5,3,-999,10000.8
77,3566,78,1,6,5,3,-999,10004.3
78,3566,79,1,7,5,3,-999,9993.17
79,3566,80,1,8,5,3,-999,9983.0
80,3566,81,1,9,5,3,-999,9981.81
81,3566,82,1,10,5,3,-999,9989.04
82,3566,83,1,11,5,3,-999,9979.74
83,3566,84,1,12,5,3,-999,9988.78
84,3566,85,1,13,5,3,-999,10007.7
85,3566,86,1,14,5,3,-999,10010.4
86,3566,87,1,15,5,3,-999,10019.2
87,3566,88,1,16,5,3,-999,10020.5
88,3566,89,1,17,5,3,-999,10012.4
89,3566,90,1,18,5,3,-999,9990.68
