,patient ID,time,condition1,scan-in-condition1,condition2,condition3,ignore,brain
18,2353,19,1,1,3,3,-999,9957.83
19,2353,20,1,2,3,3,-999,9953.23
20,2353,21,1,3,3,3,-999,9948.86
21,2353,22,1,4,3,3,-999,9942.81
22,2353,23,1,5,3,3,-999,9927.37
23,2353,24,1,6,3,3,-999,9909.69
24,2353,25,1,7,3,3,-999,9900.11
25,2353,26,1,8,3,3,-999,9897.57
26,2353,27,1,9,3,3,-999,9901.57
27,2353,28,1,10,3,3,-999,9905.07
28,2353,29,1,11,3,3,-999,9907.87
29,2353,30,1,12,3,3,-999,9911.93
30,2353,31,1,13,3,3,-999,9922.56
31,2353,32,1,14,3,3,-999,9931.97
32,2353,33,1,15,3,3,-999,9934.39
33,2353,34,1,16,3,3,-999,9932.04
34,2353,35,1,17,3,3,-999,9934.69
35,2353,36,1,18,3,3,-999,9943.94
36,2353,37,1,1,5,3,-999,9947.65
37,2353,38,1,2,5,3,-999,9950.46
38,2353,39,1,3,5,3,-999,9947.08
39,2353,40,1,4,5,3,-999,9945.18
40,2353,41,1,5,5,3,-999,9946.03
41,2353,42,1,6,5,3,-999,9951.4
42,2353,43,1,7,5,3,-999,9954.87
43,2353,44,1,8,5,3,-999,9949.92
44,2353,45,1,9,5,3,-999,9942.34
45,2353,46,1,10,5,3,-999,9936.72
46,2353,47,1,11,5,3,-999,9929.2
47,2353,48,1,12,5,3,-999,9930.82
48,2353,49,1,13,5,3,-999,9949.12
49,2353,50,1,14,5,3,-999,9974.81
50,2353,51,1,15,5,3,-999,10000.0
51,2353,52,1,16,5,3,-999,9994.69
52,2353,53,1,17,5,3,-999,9968.59
53,2353,54,1,18,5,3,-999,9937.79
54,2353,55,1,1,3,3,-999,9916.41
55,2353,56,1,2,3,3,-999,9906.29
56,2353,57,1,3,3,3,-999,9901.95
57,2353,58,1,4,3,3,-999,9897.88
58,2353,59,1,5,3,3,-999,9896.28
59,2353,60,1,6,3,3,-999,9896.76
60,2353,61,1,7,3,3,-999,9899.84
61,2353,62,1,8,3,3,-999,9908.86
62,2353,63,1,9,3,3,-999,9919.21
63,2353,64,1,10,3,3,-999,9931.39
64,2353,65,1,11,3,3,-999,9939.05
65,2353,66,1,12,3,3,-999,9941.36
66,2353,67,1,13,3,3,-999,9934.86
67,2353,68,1,14,3,3,-999,9931.45
68,2353,69,1,15,3,3,-999,9933.44
69,2353,70,1,16,3,3,-999,9940.61
70,2353,71,1,17,3,3,-999,9944.56
71,2353,72,1,18,3,3,-999,9951.85
72,2353,73,1,1,5,3,-999,9954.98
73,2353,74,1,2,5,3,-999,9954.36
74,2353,75,1,3,5,3,-999,9950.54
75,2353,76,1,4,5,3,-999,9943.06
76,2353,77,1,5,5,3,-999,9940.67
77,2353,78,1,6,5,3,-999,9940.06
78,2353,79,1,7,5,3,-999,9932.06
79,2353,80,1,8,5,3,-999,9919.1
80,2353,81,1,9,5,3,-999,9914.76
81,2353,82,1,10,5,3,-999,9922.45
82,2353,83,1,11,5,3,-999,9928.89
83,2353,84,1,12,5,3,-999,9930.5
84,2353,85,1,13,5,3,-999,9927.3
85,2353,86,1,14,5,3,-999,9926.1
86,2353,87,1,15,5,3,-999,9932.26
87,2353,88,1,16,5,3,-999,9941.75
88,2353,89,1,17,5,3,-999,9945.64
89,2353,90,1,18,5,3,-999,9945.16
